2012-08-01,ape,Analyses of Phylogenetics and Evolution
2012-08-01,bbmle,Tools for general maximum likelihood estimation
2012-08-01,blockTools,"Block, assign, and diagnose potential interference in randomized experiments"
2012-08-01,catIrt,An R Package for Simulating IRT-Based Computerized Adaptive Tests
2012-08-01,catnet,Categorical Bayesian Network Inference
2012-08-01,COUNT,"Functions, data and code for count data"
2012-08-01,Distance,A simple way to fit detection functions to distance sampling data and calculate abundance/density for biological populations
2012-08-01,EcoHydRology,A community modeling foundation for Eco-Hydrology
2012-08-01,gearman,R interface to the Gearman Job Server
2012-08-01,gRbase,A package for graphical modelling in R
2012-08-01,gsubfn,Utilities for strings and function arguments
2012-08-01,hisemi,Hierarchical Semiparametric Regression of Test Statistics
2012-08-01,hypred,Simulation of genomic data in applied genetics
2012-08-01,LEAPFrOG,Likelihood Estimation of Admixture in Parents From Offspring Genotypes
2012-08-01,LearnEDA,Functions for Learning Exploratory Data Analysis
2012-08-01,MASS,Support Functions and Datasets for Venables and Ripley's MASS
2012-08-01,msm,Multi-state Markov and hidden Markov models in continuous time
2012-08-01,mvc,Multi-View Clustering
2012-08-01,mvmeta,Multivariate meta-analysis and meta-regression
2012-08-01,Peak2Trough,Estimation of the peak-to-trough ratio of a seasonal variation component
2012-08-01,rsgcc,Gini methodology-based correlation and clustering analysis of microarray and RNA-Seq gene expression data
2012-08-01,Runiversal,Runiversal - Package for converting R objects to Java variables and XML
2012-08-01,sBF,Smooth Backfitting
2012-08-01,TSAgg,Time series Aggregation
2012-08-01,vcdExtra,vcd additions
2012-08-01,vines,Multivariate Dependence Modeling with Vines
2012-08-01,visualizationTools,Package contains a few functions to visualize statistical circumstances
2012-07-31,adimpro,Adaptive Smoothing of Digital Images
2012-07-31,AtmRay,Acoustic Traveltime Calculations for 1-D Atmospheric Models
2012-07-31,bda,Algorithms for Binned/Weighted Data Analysis
2012-07-31,catdata,Categorical Data
2012-07-31,crblocks,Categorical Randomized Block Data Analysis
2012-07-31,evd,Functions for extreme value distributions
2012-07-31,fast,Implementation of the Fourier Amplitude Sensitivity Test (FAST)
2012-07-31,GeoXp,Interactive exploratory spatial data analysis
2012-07-31,glmmLasso,Variable selection for generalized linear mixed models by L1-penalized estimation
2012-07-31,gumbel,Gumbel copula
2012-07-31,pegas,Population and Evolutionary Genetics Analysis System
2012-07-31,QCA,Qualitative Comparative Analysis
2012-07-31,RcppCNPy,Rcpp bindings for NumPy files
2012-07-31,RForcecom,RForcecom provides the connection to Force.com (Salesforce.com) from R
2012-07-31,rtape,Manage and manipulate large collections of R objects stored as tape-like files
2012-07-31,SGP,An R Package for the Calculation and Visualization of Student Growth Percentiles & Percentile Growth Trajectories
2012-07-31,visualFields,Statistical methods for visual fields
2012-07-31,zic,Bayesian Inference for Zero-Inflated Count Models
2012-07-30,abd,The Analysis of Biological Data
2012-07-30,copBasic,"Basic Theoretical Copula, Empirical Copula, and Various Utility Functions"
2012-07-30,copula,Multivariate Dependence with Copulas
2012-07-30,dsample,Discretization-based Direct Random Sample Generation
2012-07-30,EstCRM,Calibrating Parameters for the Samejima's Continuous IRT Model
2012-07-30,GEVcdn,GEV conditional density estimation network
2012-07-30,HyPhy,Macroevolutionary phylogentic analysis of species trees and gene trees
2012-07-30,MPDiR,Data sets and scripts for Modeling Psychophysical Data in R
2012-07-30,rJython,R interface to Python via Jython
2012-07-30,Rquake,Seismic Hypocenter Determination
2012-07-30,RSEIS,Seismic Time Series Analysis Tools
2012-07-30,RTOMO,Visualization for seismic tomography
2012-07-30,RVAideMemoire,Diverse basic statistical and graphical functions
2012-07-30,trio,trio package without Fortran code
2012-07-29,betareg,Beta Regression
2012-07-29,bigmatrix,Tuning Insensitive Graph Estimation and Regression
2012-07-29,CDM,Cognitive Diagnosis Modeling
2012-07-29,frmqa,"The Generalized Hyperbolic Distribution, Related Distributions and Their Applications in Finance"
2012-07-29,ftsa,Functional time series analysis
2012-07-29,metRology,Support for metrological applications
2012-07-29,npmv,Nonparametric Comparison of Multivariate Samples
2012-07-29,oce,Analysis of Oceanographic data
2012-07-29,plotrix,Various plotting functions
2012-07-29,poisson.glm.mix,Fit high dimensional mixtures of Poisson GLM's
2012-07-29,psyphy,Functions for analyzing psychophysical data in R
2012-07-29,R2jags,A Package for Running jags from R
