GEO.id,zipcode,GEO.display-label,population
8600000US00601,601,ZCTA5 00601,18570
8600000US00602,602,ZCTA5 00602,41520
8600000US00603,603,ZCTA5 00603,54689
8600000US00606,606,ZCTA5 00606,6615
8600000US00610,610,ZCTA5 00610,29016
8600000US00612,612,ZCTA5 00612,67010
8600000US00616,616,ZCTA5 00616,11017
8600000US00617,617,ZCTA5 00617,24597
8600000US00622,622,ZCTA5 00622,7853
8600000US00623,623,ZCTA5 00623,43061
8600000US00624,624,ZCTA5 00624,26241
8600000US00627,627,ZCTA5 00627,35159
8600000US00631,631,ZCTA5 00631,1852
8600000US00637,637,ZCTA5 00637,25287
8600000US00638,638,ZCTA5 00638,18941
8600000US00641,641,ZCTA5 00641,31191
8600000US00646,646,ZCTA5 00646,38199
8600000US00647,647,ZCTA5 00647,6172
8600000US00650,650,ZCTA5 00650,14998
8600000US00652,652,ZCTA5 00652,4715
8600000US00653,653,ZCTA5 00653,13307
8600000US00656,656,ZCTA5 00656,21481
8600000US00659,659,ZCTA5 00659,41953
8600000US00660,660,ZCTA5 00660,17250
8600000US00662,662,ZCTA5 00662,43282
8600000US00664,664,ZCTA5 00664,16784
8600000US00667,667,ZCTA5 00667,25968
8600000US00669,669,ZCTA5 00669,29744
8600000US00670,670,ZCTA5 00670,9807
8600000US00674,674,ZCTA5 00674,44457
8600000US00676,676,ZCTA5 00676,40316
8600000US00677,677,ZCTA5 00677,15272
8600000US00678,678,ZCTA5 00678,27819
8600000US00680,680,ZCTA5 00680,58140
8600000US00682,682,ZCTA5 00682,32615
8600000US00683,683,ZCTA5 00683,33772
8600000US00685,685,ZCTA5 00685,42831
8600000US00687,687,ZCTA5 00687,32610
8600000US00688,688,ZCTA5 00688,13543
8600000US00690,690,ZCTA5 00690,6255
8600000US00692,692,ZCTA5 00692,37511
8600000US00693,693,ZCTA5 00693,61038
8600000US00694,694,ZCTA5 00694,328
8600000US00698,698,ZCTA5 00698,41782
8600000US00703,703,ZCTA5 00703,28605
8600000US00704,704,ZCTA5 00704,8577
8600000US00705,705,ZCTA5 00705,25598
8600000US00707,707,ZCTA5 00707,12225
8600000US00714,714,ZCTA5 00714,19566
