id,year,month,day,date,time,tz,state,state_fips,state_num,fscale,injuries,fatalities,loss,crop_loss,start_lat,start_lon,end_lat,end_long,length,width,ns,sn,sg,f1,f2,f3,f4
14,2000,1,3,2000-01-03,06:22:00,3,AR,5,1,1,0,0,0,0,36.22,-92.18,36.27,-92.1,4.8,40,1,1,1,5,65,0,0
15,2000,1,3,2000-01-03,06:46:00,3,AR,5,2,1,0,0,0,0,36.22,-91.83,36.23,-91.8,1.8,40,1,1,1,65,0,0,0
16,2000,1,3,2000-01-03,06:50:00,3,AR,5,3,1,0,0,0,0,36.27,-91.7,36.28,-91.67,2,40,1,1,1,49,0,0,0
17,2000,1,3,2000-01-03,06:55:00,3,AR,5,4,1,0,0,0,0,36.47,-91.65,36.48,-91.6,3.1,40,1,1,1,49,0,0,0
8,2000,1,3,2000-01-03,12:15:00,3,MS,28,1,1,0,0,0.04,0,33.63,-90.37,33.67,-90.33,3,150,1,1,1,83,0,0,0
6,2000,1,3,2000-01-03,13:05:00,3,IN,18,1,1,0,0,0.05,0,38.47,-86.18,38.47,-86.18,0.3,50,1,1,1,175,0,0,0
626,2000,1,3,2000-01-03,13:30:00,3,MS,28,2,3,0,0,0.45,0,34.17,-89.55,34.6,-89.08,43.2,500,1,1,1,161,71,145,0
628,2000,1,3,2000-01-03,15:08:00,3,KY,21,1,3,3,0,7.4,0,37.27,-88.08,37.48,-87.73,24,440,1,1,1,55,233,0,0
19,2000,1,3,2000-01-03,16:06:00,3,KY,21,2,3,18,0,64,0,37.72,-87.18,37.77,-87.12,7,880,1,1,1,59,0,0,0
9,2000,1,3,2000-01-03,17:29:00,3,MS,28,3,2,0,0,0.17,0,32.18,-89.15,32.22,-89.05,6,210,1,1,1,61,101,0,0
22,2000,1,3,2000-01-03,18:21:00,3,MS,28,4,0,0,0,0.001,0,31.1,-91.27,31.1,-91.27,0.1,20,1,1,1,157,0,0,0
4,2000,1,9,2000-01-09,15:56:00,3,AL,1,1,0,1,0,0.02,0,32.3,-86.33,32.3,-86.33,0.1,20,1,1,1,101,0,0,0
5,2000,1,9,2000-01-09,16:22:00,3,AL,1,2,0,0,0,0,0,32.05,-85.52,32.05,-85.48,1,30,1,1,1,11,0,0,0
